indice_tiempo,total,por_categoria_deuda_comercial,anticipos_prefinanciacion_bienes,deuda_por_importacion_bienes,deuda_comercial_servicios,deuda_comercial_lineas_credito,por_categoria_deuda_financiera,deuda_financiera_prestamos_financieros,prestamos_financieros_titulos_deuda,deuda_financiera_por_utilidades_dividendos,deuda_financiera_linea_credito_financiera,deuda_financiera_otras_deudas,por_acreedor_clientes_del_exterior,por_acreedor_proveedores_del_exterior,por_acreedor_empresas_del_mismo_grupo,por_acreedor_entidades_financieras_internacionales,por_acreedor_multiples_tenedores_titulos,por_acreedor_organismos_internacionales_agencias_oficiales,por_acreedor_otros,en_porcentaje_del_pib,en_porcentaje_rrii,en_porcentaje_las_exportaciones
2001-10-01,79076.29464295172,18170.713135110003,5768.97059571,10156.751494740001,1282.21758066,962.773464,60905.5815078419,31458.66521265,18935.500966621898,186.74595897,6237.33221605,4087.33715355,1434.95899803,5125.938813649996,22831.08501590002,27875.768914610006,15814.327552971901,4599.54282221,1394.6725255800009,0.30246255275392125,,
2002-01-01,,,,,,,,,,,,,,,,,,,,,,
2002-04-01,72493.88154519668,16620.902412409992,4900.6189295,8895.159030369989,1304.900754540001,1520.223698,55872.9791327869,29620.836349729998,17955.497420546897,98.09613415999999,6242.21142186,1956.33780649,1243.35065294,4614.312398869992,20660.281660189972,25090.793794539994,15086.2127360069,4359.869773389999,1439.0605292599994,0.3453304516832373,,
2002-07-01,70602.91005376387,15533.652507169989,4466.634073280001,8464.198945829989,1239.52366751,1363.29582055,55069.257546593704,28964.11337141,17963.307352333697,106.77907283,6107.779155020001,1927.278595,1245.0459687200005,4442.618240060007,20105.499197269983,23989.70772707001,15019.7989636637,4230.9323552000005,1569.3076017799997,0.4417134648368482,,
2002-10-01,67858.55638565222,14186.987034499989,3546.90348159,7923.946057589989,1246.42303368,1469.7144616399999,53671.569351152306,26942.89696443,18820.5122949323,138.47855782999997,5796.09571651,1973.58581745,1176.1514484700003,4344.407990420001,18414.85475939999,22359.675985520007,15867.639091142304,4112.43355926,1583.3935514399996,0.5843378466600869,,
2003-01-01,67252.84845223856,14103.01388249,3300.7536054700004,7964.34429511,1334.65312827,1503.26285364,53149.83456974861,26907.346863420004,18595.987980438604,158.21116929,5571.62208779,1916.6664688100002,1276.27424656,4431.7813057500025,18268.759885829997,21791.661243730003,15721.132444178596,4121.03270447,1642.2066217200006,0.6094101833052501,6.394953521091856,
2003-04-01,67138.42716872621,14565.223314989991,3881.71262872,7966.352046419991,1236.937162649999,1480.2214772,52573.2038537361,26576.89312177,18263.416330566102,189.42271447,5561.806888149999,1981.66479878,1473.27628004,4578.95941084999,18181.818993320016,21812.889050160007,15376.453570756103,4042.52028061,1672.5095829899994,0.5570830844906589,5.510687783796546,
2003-07-01,64351.892044174034,14515.35598017001,3748.92258525,7996.9792957400105,1306.7905245900001,1462.6635745899998,49836.536064003994,25105.73358665,18212.313050364,147.56415004,4464.4017537,1906.52352325,1368.4941334600005,4438.910199899997,17697.870514819948,20098.279865629993,15308.803788234001,3779.38990323,1660.143638899999,0.489713585126636,4.800403784342871,
2003-10-01,61985.16251210901,13280.423111809989,3683.63185768,8038.113987299989,1287.35878429,271.31848253999993,48704.739400299004,25083.55341101,17811.970134938998,204.57932889,3759.40011838,1845.2364070800002,1407.6897179,4066.620212690008,21151.39035051999,15249.664599549997,14752.855128198997,3733.09538906,1623.84711419,0.43310651587498333,4.3901524944520025,
2004-01-01,59941.679124502756,13809.16072310998,4163.568046259999,8135.28013783998,1248.27833192,262.03420709,46132.51840139239,24160.45689918,17347.8725062024,330.95492627,2549.5895214099996,1743.64454833,1396.15571052,4062.8846051100063,20329.98938495008,14397.920865399998,14104.577849882404,3739.48412941,1910.6665792300012,0.39432218395499297,3.995226181541526,
2004-04-01,59452.76615716901,14384.978464470012,4356.48523947,8507.11140637001,1283.70810182,237.67371681,45067.787692699196,23128.837892199997,17852.9514029992,333.51099502,2259.0258684699998,1493.46153401,1364.0890208399992,4372.581415249997,19805.778033280018,13193.634938179994,15288.9082513892,3374.11255158,2053.6619466500015,0.37940177838389405,3.4084590137883226,
2004-07-01,58803.09339898079,13970.32053037,3871.8697269300005,8635.96608687,1265.7474436,196.73727297,44832.7728686108,23093.693529239998,17697.9669935008,345.35937346,2178.80116206,1516.9518103500002,1257.508626190001,4385.142849779992,19770.251073709995,12689.347374580002,15024.324488050803,3202.7191821600004,2473.79980451,0.36546370358998304,3.2267407711358413,
2004-10-01,56003.8299248055,13512.658758949961,3859.3176353900003,8228.69035850996,1307.97746559,116.67329946000001,42491.171165855405,21958.34492008,17045.2851899654,289.58474991,1863.1016601099998,1334.85464579,1379.0047321000004,4491.095227540003,18387.798305130018,12011.77515266,14631.659599145401,2837.86028593,2264.6366222999995,0.3396721895010043,2.850694602355422,
2005-01-01,53548.54784033136,13597.01327758002,3994.96762987,8200.73221516002,1289.8400200700003,111.47341248000001,39951.5345627514,20621.762968299998,15995.1686462314,298.20629422,1612.89394801,1423.50270599,1332.0267981399986,4574.425478380005,17376.32824300997,11401.428766120003,13823.2397735914,2789.0492052799996,2252.049575809999,0.31369024194796735,2.632844817182421,
2005-04-01,54153.93248728057,14845.65147763997,5010.202237480001,8345.60911713997,1396.2867846499998,93.55333837,39308.28100964041,19766.39662485,15965.822981340401,492.45090833,1574.72559359,1508.88490153,1427.8398346299984,4708.50730903998,17727.80319728003,11469.462451750001,13812.023470720402,2738.1429093899997,2270.15331447,0.3021473914669458,2.3492106339234216,
2005-07-01,51209.91355307539,13905.028357750009,4248.04538626,8090.22956443001,1486.573828199999,80.17957885999999,37304.8851953254,18972.976535789996,14930.4961869154,419.66362575,1568.09394779,1413.65489908,1164.3875802200002,4722.170987850007,16962.205694410015,10659.817575119994,12860.1677044254,2679.42657278,2161.737438269999,0.2703183869078183,1.9992985644851307,
2005-10-01,48587.23318110953,13573.82565088,3747.5541318200003,8096.2249386,1661.3819688799997,68.66461158,35013.4075302295,18075.06871067,14166.557058779501,375.52580243,1149.0577994300002,1247.1981589199997,1068.0568117300004,4739.246907549991,15898.938825529984,9719.847878149996,12119.455820459503,2887.1736968,2154.51324089,0.24381376163780508,1.730500388762685,
2006-01-01,49164.7025539446,13757.309216440013,3514.8905163399995,8375.15927832001,1800.3462793800022,66.91314240000001,35407.3933375047,17922.316069020002,14360.0217341547,537.15590316,1081.27296321,1506.62666796,1225.0751224800001,4967.506243500006,16364.903891269983,9345.048268169996,12271.033127404702,2856.3629085800003,2134.7729925399985,0.23611019458873345,2.2815258675436763,
2006-04-01,49161.601575511224,14764.21381219,3927.19240066,8842.37508225,1905.12781539,89.51851388999998,34397.3877633212,17342.75854515,13988.9347807112,560.8247438999999,1044.33929021,1460.5304033500001,1295.515502270001,5425.2608138000105,16341.514712280034,9067.481131470002,12136.3835130812,2805.4065224800006,2090.0393801300006,0.22844378422237435,1.9286591820891394,
2006-07-01,48779.83074710712,15198.10340266001,3993.9894728899994,9141.43671029001,1970.6746093200002,92.00261016000002,33581.7273444469,17646.90834468,13195.1868522769,397.10020167,796.0068245,1546.5251213200002,1295.0551696700006,5631.638387699982,16640.445687649983,8652.421479729997,11916.6175817269,2359.94070724,2283.7117333900023,0.21854066413171272,1.7391549977592808,1.2315150251823752
2006-10-01,48601.3097818353,15248.22583177999,3892.61710924,9289.95215587999,1946.3332960800008,119.32327058000001,33353.0839500554,17529.72307555,13178.6613700254,384.89365619,658.49677041,1601.3090778800001,1399.7494477199994,5818.264036320015,15801.483766230012,9299.919640079996,11917.4655087054,2335.5968667999996,2028.8305159800009,0.20869036548348657,1.5170453927897996,0.8913008120433001
2007-01-01,47952.727184729476,15305.09211608999,3883.8407826800003,9275.12906261999,2021.5109728999992,124.61129789000002,32647.635068639403,17201.2243433,12884.866487249401,490.51784516999993,503.38525556999997,1567.64113735,1371.1807526199989,5859.277605500004,15864.317457389994,8633.252890200003,11644.685521309399,2189.2173216799997,2390.7956360299995,0.19742003899582897,1.3013128400534852,0.8499844193862625
2007-04-01,50680.00131637308,17064.541138579996,4531.647131809999,10258.814423549999,2089.6487041399996,184.43087908,33615.460177793204,16502.361028850002,13935.3159787932,1111.4742218600002,506.58467957,1559.7242687199998,1468.0044230499996,6410.638523970015,16891.16605151,9372.798111559998,12691.8690608532,1971.3059868700004,1874.2191585599976,0.19729537051624008,1.1743132922660022,0.8652868545726747
2007-07-01,51736.08082344396,18702.35099477,5119.79178607,11023.02967528,2287.49069496,272.03883846,33033.7298286738,16949.37195844,12735.901970973799,692.77432272,551.86579362,2103.81578292,1565.9180957299995,6787.199532620003,17232.810372990043,10238.136814260004,11550.193989033802,2390.4138386800005,1971.4081801299997,0.1911488507774685,1.2062113950837425,0.8446087492026081
2007-10-01,51526.96466491885,18926.301424890004,4614.36545629,11528.087389010001,2451.2564644700014,332.59211511999996,32600.6632400291,16649.73701083,12082.5968285391,902.8215631899999,553.26892034,2412.23891713,1674.4109738799978,7261.433120679987,16775.12546663001,10643.204468380003,11158.158595159102,2373.6267117100006,1641.00532848,0.17904284762348902,1.1161212489297316,0.7792675971162588
2008-01-01,54167.944150043404,20701.09902491,4872.780467400001,12670.37314974,2676.1736572600003,481.77175051,33466.8451251332,17264.73092379,12038.8820479332,1044.2773350999998,544.21572792,2574.73909039,1817.5874539799995,7647.908308990014,17643.305407530002,11523.529775480012,11150.1201931532,2594.0263251600004,1791.4666857500006,0.17636587340086032,1.0734033212127525,0.7591270999272651
2008-04-01,58351.04973267281,24606.742251050004,5703.893488850001,15559.295616360001,2712.452748359999,631.10039748,33744.307481622905,18121.13498268,11243.0285876229,1112.16190001,557.8544182,2710.12759311,1922.781585199998,9432.420600830004,19481.691011990013,12657.070654320005,10464.109125792898,2576.6498529499995,1816.3269015899991,0.17626465189758958,1.228034767907466,0.7716973009864867
2008-07-01,59924.745566176745,25951.999465630102,6011.643733910001,16351.1606615401,2862.198766219999,726.9963039600001,33972.7461005467,19063.436888769997,10985.470266946699,1000.77028052,598.10235179,2324.96631252,1794.6263715800021,9435.265891010004,20885.86390805003,13130.581084829995,10266.0442683867,2690.9443232499993,1721.4197190699997,0.16863914247792622,1.2717105469156251,0.7212856002255811
2008-10-01,57729.418206748014,24102.803656100004,5080.14621086,15689.590434700001,2887.1924546100013,445.87455593,33626.6145506481,19162.8025864,10372.9452444981,1463.1690574099998,562.66390843,2065.03375391,1736.0222271899993,8980.201944310013,21041.841390650017,11763.075424760003,9726.934877338099,2816.33167553,1665.0106669699985,0.158606823023807,1.2445464237140675,0.7076103934631479
2009-01-01,54643.079514863864,22359.303280040003,5164.135942289999,13955.99227819,3004.248367700001,234.92669185999998,32283.776234823697,18811.62324877,9726.5770278937,1484.13777013,569.1249604,1692.31322763,1490.08701982,8537.77990655,20198.26334514002,10777.23839832,9132.572581813702,2819.3827277000005,1687.7555355200004,0.1515446781583057,1.17489185738254,0.7070652824714114
2009-04-01,54754.25550890214,22915.532265039998,5878.382084389999,13914.67780144,2948.9211764299985,173.55120277999998,31838.7232438623,18927.74753491,9234.5100042323,1515.6599266,539.6426315,1621.1631466200001,1529.6306125400017,8920.272788330021,20277.50211594999,10816.117310119998,8642.4947080723,2931.02272752,1637.2152463700015,0.15768150975236908,1.1896295824566172,0.7298505260957191
2009-07-01,53829.15144818131,22832.51752199,5523.53404262,13981.68305455,3145.7016678400014,181.59875698000002,30996.6339261913,18593.869864700002,9250.2892723113,1222.1335374300002,520.69691197,1409.6443397799999,1538.0457147800007,9347.843496459973,19541.00625784996,10019.420565129993,8658.021829331301,3139.25490557,1585.5586790600007,0.161664487796779,1.1870148835380456,0.8034679886118372
